"Date","Open","High","Low","Close","Volume"
"01/20/2022","95.19","95.19","94.54","94.63","674"
"01/19/2022","95","95.935","94.19","94.47","14,658"
"01/18/2022","96","96","94.34","94.5","23,053"
"01/14/2022","96.55","96.955","95.4201","95.65","14,368"
"01/13/2022","96.96","97.9","96.47","96.57","23,322"
"01/12/2022","98.45","98.45","96.32","96.54","23,934"
"01/11/2022","98.6","98.6","97.24","97.82","16,515"
"01/10/2022","99.99","99.99","97.73","97.77","14,797"
"01/07/2022","101.44","102.342","98.9","98.9","13,278"
"01/06/2022","100.58","102","100.06","101.29","12,600"
"01/05/2022","101.54","101.72","100.175","100.4","16,188"
"01/04/2022","100.26","102.26","99.99","100.5","23,443"
"01/03/2022","98.78","101.19","98.78","100.62","15,437"
"12/31/2021","98.74","99.56","98.74","99.56","6,820"
"12/30/2021","99.75","100.7402","98.79","99.32","11,659"
"12/29/2021","98.37","99.81","98.37","99.11","9,906"
"12/28/2021","98.09","100.58","98.09","98.51","12,740"
"12/27/2021","99.3","102.25","98.5","99.64","22,797"
"12/23/2021","98.78","100.47","98.78","99.19","7,752"
"12/22/2021","98.36","101","98.36","99.32","14,742"
"12/21/2021","99.598","100.43","99","99.2","12,819"
"12/20/2021","97.81","99.3","96.72","98.22","14,988"
"12/17/2021","102.13","102.13","99.52","99.9","24,757"
"12/16/2021","104.67","105.265","101.86","101.87","15,203"
"12/15/2021","101.9","104.58","101.01","103.25","18,645"
"12/14/2021","103.96","105.22","102.67","102.67","15,370"
"12/13/2021","100.12","104.91","99.53","104.25","59,426"
"12/10/2021","102.65","102.65","99.6815","100.5","9,364"
"12/09/2021","101.02","102.9893","100.93","101.51","16,415"
"12/08/2021","101.11","103.09","99.4348","102.38","11,562"
"12/07/2021","102.985","104.47","100.73","102.23","24,681"
"12/06/2021","101.23","102.07","99.5342","102","12,277"
"12/03/2021","100.65","100.65","98.09","99.52","15,762"
"12/02/2021","99.19","102.12","98.0739","102.1","14,159"
"12/01/2021","98.09","102.3","97.68","97.71","22,240"
"11/30/2021","100.3","100.82","98.1","98.59","20,975"
"11/29/2021","105.03","106.6907","101.785","101.86","24,984"
"11/26/2021","104.44","106","101.27","103.96","18,089"
"11/24/2021","109.2","109.61","107.85","107.86","6,524"
