"Date","Open","High","Low","Close","Volume"
"01/20/2022","97.49","97.88","97.46","97.76","280,816"
"01/19/2022","97.938","98.39","96.78","96.87","10,856,820"
"01/18/2022","99.17","99.36","97.51","97.73","11,402,290"
"01/14/2022","101.91","101.91","99.09","100.12","13,703,170"
"01/13/2022","104.15","104.665","102.09","102.4","9,818,487"
"01/12/2022","104.435","105.32","103.68","103.87","11,810,460"
"01/11/2022","106.04","106.17","103.71","104.04","13,073,180"
"01/10/2022","106.615","107.01","104.42","106.03","8,499,389"
"01/07/2022","108.215","109.71","107.475","107.57","11,266,440"
"01/06/2022","110","111.88","109.99","111.14","6,099,910"
"01/05/2022","114.4","114.9562","110.4","110.44","8,662,327"
"01/04/2022","116.9","117.05","114.165","114.24","8,367,607"
"01/03/2022","116.47","117.8","114.78","116.68","5,478,426"
"12/31/2021","115.67","117.48","115.6049","116.97","3,674,938"
"12/30/2021","116.38","117.34","116.08","116.24","4,068,918"
"12/29/2021","115.3959","116.96","115.3103","116.38","4,215,460"
"12/28/2021","114","116.2801","113.81","115.57","4,562,965"
"12/27/2021","112.6","114.37","112.39","114.22","3,717,026"
"12/23/2021","112.23","112.91","111.99","112.37","3,359,803"
"12/22/2021","110.2","111.783","110","111.74","3,643,281"
"12/21/2021","109","110.9","108.87","110.37","4,682,227"
"12/20/2021","107.07","108.12","106.61","108.09","6,313,699"
"12/17/2021","111.27","111.8","108.22","108.63","13,720,730"
"12/16/2021","115","115.4","113.22","113.59","7,544,369"
"12/15/2021","114.81","115.2","112.755","114.68","6,902,396"
"12/14/2021","114.57","115.3","114.03","114.71","6,854,618"
"12/13/2021","116.16","116.83","115.22","115.56","6,479,398"
"12/10/2021","115.82","117.09","115.78","116.73","6,110,960"
"12/09/2021","115.8","116.41","115.24","115.35","5,664,678"
"12/08/2021","115.78","116.65","115.15","116.25","5,806,963"
"12/07/2021","115.058","117.19","114.79","116.26","8,786,898"
"12/06/2021","112.01","114.17","111.71","113.36","8,280,227"
"12/03/2021","111.85","112.8463","110.08","111.24","7,014,076"
"12/02/2021","109.17","112.08","109.17","111.42","7,709,360"
"12/01/2021","110.96","113.35","108.55","108.66","7,621,590"
"11/30/2021","109.55","111.09","109.05","109.64","9,483,253"
"11/29/2021","111.36","111.69","109.62","110.73","7,114,069"
"11/26/2021","110.01","110.83","109.251","110.66","6,703,214"
"11/24/2021","113.41","114.26","113.08","113.97","4,464,304"
"11/23/2021","112","114.1102","111.78","113.58","7,911,991"
"11/22/2021","111.11","112.59","110.67","111.45","5,969,252"
"11/19/2021","112.729","112.9","109.77","110.78","6,922,803"
"11/18/2021","112.12","113.2299","111.34","112.9","5,641,290"
"11/17/2021","112.22","113.1086","111.66","112.52","5,768,639"
"11/16/2021","112.28","113.11","111.505","112.23","7,964,980"
"11/15/2021","112.12","113.65","111.58","111.87","6,566,119"
"11/12/2021","111.74","112.24","111.09","111.72","7,350,369"
"11/11/2021","113.25","113.25","110.535","111.44","7,191,873"
"11/10/2021","112.905","114.46","112.6","113.25","6,563,699"
"11/09/2021","114.65","115.6","113.37","114.13","6,754,723"
"11/08/2021","116.52","117.47","114.5718","115.16","8,753,315"
"11/05/2021","113.24","117.33","113.14","116.91","10,256,800"
"11/04/2021","111.6","112.42","110.93","112.16","8,212,593"
"11/03/2021","111.33","112.92","110.11","112.61","6,422,577"
"11/02/2021","110.25","111.82","109.79","111.45","11,538,860"
"11/01/2021","107.225","110.15","107.2","109.8","14,184,630"
